Word,Collocations,Phonetic,Definition,Synonyms,Antonyms,Context
Print media,"newspapers and print media (báo chí và phương tiện in ấn) / traditional print media (phương tiện in ấn truyền thống)","/print 'midiə/","Phương tiện truyền thông in ấn","hardcopy press, published media, newspapers and magazines","digital media, electronic press, online news","Print media is struggling to compete with free online news sources. (Phương tiện truyền thông in ấn đang chật vật cạnh tranh với các nguồn tin tức trực tuyến miễn phí.)"
Product placement,"subtle product placement (việc đặt SP một cách tinh tế) / movie product placement (đặt SP trong phim)","/'prodakt 'pleısmənt/","Đặt sản phẩm trong phim, chương trình truyền hình","embedded marketing, brand integration, stealth advertising, in-show promotion","overt advertising, traditional commercial","Seeing the hero drink Coca-Cola in the movie is a classic example of product placement. (Việc nhìn thấy nhân vật chính uống Coca-Cola trong phim là một ví dụ kinh điển của quảng cáo qua việc đặt sản phẩm.)"
Products,"innovative products (các SP đổi mới) / launch new products (ra mắt SP mới)","/'prodʌkts/","Sản phẩm","goods, items, merchandise, wares, commodities","services, intangible assets","The commercial successfully highlighted the features of their new products. (Quảng cáo đã làm nổi bật thành công các tính năng của các sản phẩm mới của họ.)"
Promote,"promote a brand (quảng bá TH) / actively promote (quảng bá tích cực)","/prǝ mout/","Quảng bá, thúc đẩy","advertise, market, publicize, push, endorse","hinder, suppress, demote, obscure, downplay","They hired a famous actor to promote their new clothing line. (Họ đã thuê một diễn viên nổi tiếng để quảng bá dòng quần áo mới của mình.)"
Promotion,"sales promotion (chương trình khuyến mãi) / aggressive promotion (sự quảng bá rầm rộ)","/prǝ'moufən/","Sự quảng bá","advertising, marketing, publicizing, campaigning, backing","suppression, concealment, demotion","The buy-one-get-one-free promotion attracted hundreds of shoppers. (Chương trình khuyến mãi mua một tặng một đã thu hút hàng trăm người mua sắm.)"
Protecting,"protecting consumers (bảo vệ người TD) / protecting personal data (bảo vệ dữ liệu cá nhân)","/prǝ tɛktın/","Bảo vệ","safeguarding, defending, securing, shielding, preserving","harming, exposing, endangering, attacking, neglecting","Strict laws are necessary for protecting children from manipulative ads. (Cần có luật pháp nghiêm ngặt để bảo vệ trẻ em khỏi những quảng cáo mang tính thao túng.)"
Public relations,"public relations campaign (chiến dịch PR) / handle public relations (xử lý quan hệ công chúng)","/ pablık rı' leıfənz/","Quan hệ công chúng","PR, media relations, corporate communications, image management","","The company's public relations team worked hard to repair its damaged image. (Đội ngũ quan hệ công chúng của công ty đã làm việc chăm chỉ để hàn gắn hình ảnh bị tổn hại của mình.)"
Purchasing decisions,"influence purchasing decisions (ảnh hưởng đến QĐ mua hàng) / make purchasing decisions (đưa ra QĐ mua hàng)","/'p3:rtfəsın dı sızənz/","Quyết định mua hàng","buying choices, consumer decisions, shopping intentions, spending choices","","Emotions often drive our purchasing decisions more than logic does. (Cảm xúc thường thúc đẩy các quyết định mua hàng của chúng ta nhiều hơn so với logic.)"
Radio,"listen to the radio (nghe đài) / radio station (trạm phát thanh)","/'reidiou/","Đài phát thanh","broadcasting, wireless, AM/FM receiver, audio transmission","","I always hear catch jingles on the radio while driving to work. (Tôi luôn nghe thấy những đoạn nhạc quảng cáo bắt tai trên đài phát thanh khi lái xe đi làm.)"
Radio advertising,"local radio advertising (QC trên đài địa phương) / invest in radio advertising (đầu tư vào QC đài)","/'reıdiou 'ædvər taızın/","Quảng cáo trên đài phát thanh","audio commercials, radio spots, on-air advertising, sound marketing","print advertising, visual marketing, television ads","Radio advertising is a cost-effective way to reach local drivers. (Quảng cáo trên đài phát thanh là một cách tiết kiệm chi phí để tiếp cận những người lái xe ở địa phương.)"
Regulators,"government regulators (cơ quan quản lý chính phủ) / strict regulators (cơ quan quản lý nghiêm ngặt)","/'regjə leıtərz/","Cơ quan quản lý","inspectors, authorities, controllers, watchdogs, supervisors","violators, lawbreakers, unregulated entities","Regulators closely monitor TV commercials aimed at young children. (Các cơ quan quản lý giám sát chặt chẽ các quảng cáo truyền hình nhắm vào trẻ nhỏ.)"
Sales,"boost sales (thúc đẩy doanh số) / annual sales (doanh số hàng năm)","/seilz/","Doanh số","revenue, earnings, transactions, turnover, business","purchases, expenses, losses, overheads","The brilliant marketing campaign led to a 20% increase in sales. (Chiến dịch tiếp thị xuất sắc đã dẫn đến mức tăng 20% doanh số bán hàng.)"
Sales page,"optimize the sales page (tối ưu hóa trang bán hàng) / visit the sales page (truy cập trang bán hàng)","/seilz perdz/","Trang bán hàng, trang giới thiệu sản phẩm","landing page, product page, promotional webpage, checkout page","","Click the link below to be directed to our official sales page. (Nhấp vào liên kết bên dưới để được chuyển hướng đến trang bán hàng chính thức của chúng tôi.)"
Services,"offer services (cung cấp DV) / advertise professional services (QC DV chuyên nghiệp)","/'s3:rvISIZ/","Dịch vụ","assistance, solutions, facilities, utilities, provisions","goods, physical products, tangible items","The agency advertises its financial services on prime time TV. (Cơ quan này quảng cáo các dịch vụ tài chính của mình trên truyền hình vào giờ vàng.)"
Social media,"social media platforms (nền tảng MXH) / post on social media (đăng trên MXH)","/'soufəl 'midiə/","Mạng xã hội","social networks, online forums, digital communities, networking sites","traditional media, print press, offline networks","Influencers use social media to endorse beauty products. (Những người có ảnh hưởng sử dụng mạng xã hội để quảng bá các sản phẩm làm đẹp.)"
Social media marketing,"social media marketing strategy (chiến lược tiếp thị MXH) / invest in social media marketing (đầu tư tiếp thị MXH)","/'soufəl 'midiə 'markıtın/","Tiếp thị truyền thông xã hội","digital social marketing, influencer marketing, SMM, network promotion","offline marketing, billboard advertising, print campaigning","Social media marketing allows brands to interact directly with their fans. (Tiếp thị qua mạng xã hội cho phép các thương hiệu tương tác trực tiếp với người hâm mộ của họ.)"
Spam email,"delete spam email (xóa email rác) / spam email folder (thư mục email rác)","/spæm i meil/","Email rác","junk mail, unsolicited email, digital trash, bulk email","important mail, verified correspondence, wanted email","My inbox is constantly flooded with annoying spam email. (Hộp thư đến của tôi liên tục bị ngập lụt bởi những email rác phiền phức.)"
Sponsorship,"corporate sponsorship (sự tài trợ của doanh nghiệp) / secure sponsorship (giành được tài trợ)","/'spa:nsərfıp/","Tài trợ","backing, financial support, funding, patronage, endowment","opposition, boycott, defunding, withdrawal","The sports event was made possible through generous corporate sponsorship. (Sự kiện thể thao đã có thể diễn ra nhờ vào sự tài trợ hào phóng của các doanh nghiệp.)"
Strike a balance,"strike a balance between A and B (đạt được sự cân bằng giữa A và B) / struggle to strike a balance (chật vật để đạt được cân bằng)","/straık  bæləns/","Đạt được sự cân bằng","find a happy medium, compromise, harmonize, equalize, balance out","go to extremes, overdo, unbalance, polarize","Advertisers must strike a balance between being persuasive and being pushy. (Các nhà quảng cáo phải đạt được sự cân bằng giữa việc thuyết phục và việc chèo kéo.)"
Strong brands,"build strong brands (xây dựng các TH mạnh) / compete with strong brands (cạnh tranh với các TH mạnh)","/stro: brændz/","Những thương hiệu tiếng tăm","established brands, leading names, top-tier marks, recognized labels","weak brands, unknown labels, generic products, obscure names","Strong brands rarely need to explain what their product does. (Những thương hiệu mạnh hiếm khi cần phải giải thích sản phẩm của họ làm gì.)"
Target audience,"reach the target audience (tiếp cận khán giả mục tiêu) / define the target audience (xác định khán giả mục tiêu)","/'ta:rgıt ' :diəns/","Đối tượng mục tiêu","intended demographic, core consumers, specific viewership, target market","general public, unintended viewers, broad audience","A successful ad must speak directly to its target audience. (Một quảng cáo thành công phải nói trực tiếp với đối tượng mục tiêu của nó.)"
Television,"television commercials (QC truyền hình) / watch television (xem truyền hình)","/'telı vızǝn/","Truyền hình","TV, the tube, small screen, broadcasting medium","","Television is still a dominant force in the advertising industry. (Truyền hình vẫn là một thế lực thống trị trong ngành công nghiệp quảng cáo.)"
Television advertising,"expensive television advertising (QC truyền hình đắt đỏ) / power of television advertising (sức mạnh của QC truyền hình)","/'telı, vızən ædvər taızın/","Quảng cáo trên truyền hình","TV commercials, television promos, screen marketing, broadcast ads","online ads, radio marketing, print ads","Despite the internet, television advertising remains highly influential. (Bất chấp internet, quảng cáo trên truyền hình vẫn có sức ảnh hưởng rất lớn.)"
To go viral,"content tends to go viral (nội dung có xu hướng lan truyền) / hope the video will go viral (hy vọng video sẽ lan truyền nhanh)","/tu: gou 'vaırəl/","Lan truyền nhanh chóng trên mạng","spread rapidly, become an internet sensation, blow up online, circulate widely","remain obscure, go unnoticed, flop, be ignored","Their hilarious new commercial managed to go viral within hours. (Đoạn phim quảng cáo mới hài hước của họ đã lan truyền chóng mặt chỉ trong vài giờ.)"
To launch a product,"prepare to launch a product (chuẩn bị ra mắt SP) / officially launch a product (chính thức ra mắt SP)","/tu: lo:ntǝ 'prodʌkt/","Ra mắt sản phẩm","introduce a product, release an item, roll out a product, unveil merchandise","withdraw a product, recall an item, discontinue production","Apple usually holds a massive event to launch a product. (Apple thường tổ chức một sự kiện hoành tráng để ra mắt một sản phẩm.)"
Values,"core values (giá trị cốt lõi) / brand values (giá trị thương hiệu)","/'vælju:z/","Giá trị","principles, morals, ethics, standards, ideals","worthlessness, insignificance, superficiality","Modern consumers often buy from brands that share their personal values. (Người tiêu dùng hiện đại thường mua hàng từ các thương hiệu có chung giá trị cá nhân với họ.)"
Viral marketing,"viral marketing campaign (chiến dịch tiếp thị lan truyền) / power of viral marketing (sức mạnh của tiếp thị lan truyền)","/'vaırǝl markıtın/","Tiếp thị viral","word-of-mouth marketing, buzz marketing, exponential marketing, network effect","traditional marketing, static advertising, localized promo","Viral marketing relies on users sharing content with their friends. (Tiếp thị lan truyền dựa vào việc người dùng chia sẻ nội dung với bạn bè của họ.)"
Vulnerable populations,"protect vulnerable populations (bảo vệ các nhóm dễ tổn thương) / exploit vulnerable populations (trục lợi nhóm dễ tổn thương)","/'valnərəbl popju lerſənz/","Nhóm đối tượng dễ bị tổn thương","at-risk groups, susceptible people, defenseless demographics, unprotected citizens","resilient groups, invulnerable segments, protected classes","Fast food ads often heavily target vulnerable populations like children. (Quảng cáo đồ ăn nhanh thường nhắm mục tiêu nặng nề vào các nhóm dân cư dễ bị tổn thương như trẻ em.)"
Word of mouth,"spread by word of mouth (lan truyền bằng truyền miệng) / rely on word of mouth (dựa vào truyền miệng)","/w3:rd av maυθ/","Truyền miệng","verbal recommendation, personal referral, oral communication, grapevine","formal advertising, mass media marketing, written promo","The restaurant became incredibly popular strictly through word of mouth. (Nhà hàng đã trở nên vô cùng nổi tiếng hoàn toàn nhờ vào việc truyền miệng.)"

