Word,Collocations,Phonetic,Definition,Synonyms,Antonyms,Context
Physical activity,"engage in physical activity (tham gia hoạt động thể chất) / daily physical activity (hoạt động thể chất hàng ngày)","/'fızıkəl æk tıvıti/","Hoạt động thể chất","exercise, bodily exertion, workout, active lifestyle","sedentary behavior, inactivity, laziness, rest","Children need at least an hour of physical activity every day. (Trẻ em cần ít nhất một giờ hoạt động thể chất mỗi ngày.)"
Physical health,"maintain physical health (duy trì sức khỏe thể chất) / improve physical health (cải thiện sức khỏe thể chất)","/' fızıkəl helθ/","Sức khỏe thể chất","bodily well-being, physical fitness, biological health","physical illness, sickness, ailment","Your physical health directly impacts your mental well-being. (Sức khỏe thể chất của bạn tác động trực tiếp đến tình trạng sức khỏe tâm thần của bạn.)"
Physical therapy,"prescribe physical therapy (kê đơn vật lý trị liệu) / physical therapy clinic (phòng khám vật lý trị liệu)","/'fızıkəl 'Berǝpi/","Vật lý trị liệu","physiotherapy, physical rehabilitation, movement therapy","","He needs physical therapy to recover fully from his knee surgery. (Anh ấy cần vật lý trị liệu để hồi phục hoàn toàn sau ca phẫu thuật đầu gối.)"
Pilates,"practice Pilates (tập Pilates) / Pilates class (lớp học Pilates)","/pr'la:tiz/","Bài tập Pilates","core exercises, flexibility training, body conditioning","","Pilates is a great way to strengthen your core and improve posture. (Pilates là một cách tuyệt vời để tăng cường cơ cốt lõi và cải thiện tư thế.)"
Prescription,"doctor's prescription (đơn thuốc của bác sĩ) / fill a prescription (lấy thuốc theo đơn)","/prı skrıpfən/","Đơn thuốc","medical order, instruction, script, medicine","","You cannot buy these strong painkillers without a prescription. (Bạn không thể mua những loại thuốc giảm đau mạnh này mà không có đơn thuốc.)"
Prevention,"disease prevention (phòng ngừa bệnh tật) / crime prevention (phòng chống tội phạm)","/pri venfǝn/","Phòng ngừa","avoidance, deterrence, stopping, preclusion","causation, encouragement, promotion","Prevention is always better than cure when it comes to health. (Phòng bệnh luôn tốt hơn chữa bệnh khi nói đến sức khỏe.)"
Preventive care,"invest in preventive care (đầu tư vào chăm sóc phòng ngừa) / regular preventive care (chăm sóc phòng ngừa thường xuyên)","/pri'ventiv ker/","Chăm sóc phòng ngừa","prophylactic care, precautionary treatment, health maintenance","reactive care, emergency treatment","Routine health screenings are a key part of preventive care. (Tầm soát sức khỏe định kỳ là một phần quan trọng của chăm sóc phòng ngừa.)"
Rehabilitation,"drug rehabilitation (phục hồi chức năng sau nghiện ma túy) / physical rehabilitation (phục hồi chức năng thể chất)","/ rizə bılı teışən/","Phục hồi chức năng","recovery, restoration, therapy, healing process","relapse, deterioration, decline","The athlete spent six months in rehabilitation after tearing a muscle. (Vận động viên đã dành sáu tháng để phục hồi chức năng sau khi bị rách cơ.)"
Rehabilitation center,"admit to a rehabilitation center (nhập viện vào trung tâm phục hồi chức năng) / physical rehabilitation center (trung tâm phục hồi thể chất)","/ ri:hə bılı teışən 'sentǝr/","Trung tâm phục hồi chức năng","rehab clinic, recovery facility, treatment center","","He checked into a rehabilitation center to overcome his addiction. (Anh ấy đã đăng ký vào một trung tâm phục hồi chức năng để vượt qua chứng nghiện của mình.)"
Respiratory,"respiratory system (hệ hô hấp) / respiratory problems (các vấn đề về hô hấp)","/rı'spırə, tɔ:ri/","Hô hấp","breathing-related, pulmonary","","Asthma is a common chronic respiratory disease. (Hen suyễn là một bệnh hô hấp mãn tính phổ biến.)"
Respiratory rate,"measure respiratory rate (đo nhịp thở) / normal respiratory rate (nhịp thở bình thường)","/rı'spırə tɔ:ri rest/","Nhịp thở","breathing rate, breath count","","A high respiratory rate can be a sign of a panic attack or illness. (Nhịp thở cao có thể là dấu hiệu của một cơn hoảng loạn hoặc bệnh tật.)"
Respiratory system,"damage the respiratory system (gây tổn thương hệ hô hấp) / human respiratory system (hệ hô hấp của con người)","/rı'spırə tori 'sıstəm/","Hệ hô hấp","breathing apparatus, pulmonary system","","Smoking causes irreversible damage to your respiratory system. (Hút thuốc gây ra những tổn thương không thể phục hồi cho hệ hô hấp của bạn.)"
Rest,"get enough rest (nghỉ ngơi đủ) / bed rest (nghỉ ngơi trên giường)","/rest/","Nghỉ ngơi","relaxation, sleep, repose, break, downtime","activity, exertion, work, labor","The doctor advised him to get plenty of rest and drink fluids. (Bác sĩ khuyên anh ấy nên nghỉ ngơi nhiều và uống nhiều nước.)"
Sleep,"deep sleep (giấc ngủ sâu) / lack of sleep (thiếu ngủ)","/sli:p/","Giấc ngủ","slumber, rest, nap, snooze","wakefulness, consciousness, alertness, insomnia","Eight hours of sleep per night is crucial for cognitive function. (Tám giờ ngủ mỗi đêm là rất quan trọng cho chức năng nhận thức.)"
Speech therapy,"undergo speech therapy (tiếp nhận trị liệu nói) / speech therapy exercises (các bài tập trị liệu nói)","/spi:tf 'erǝpi/","Trị liệu nói","language therapy, vocal rehabilitation, articulation therapy","","The child attended speech therapy to overcome a severe stutter. (Đứa trẻ đã tham gia trị liệu nói để khắc phục chứng nói lắp nghiêm trọng.)"
Sprain,"ankle sprain (trẹo mắt cá chân) / suffer a sprain (bị trẹo cơ/khớp)","/sprein/","Trẹo cơ (khớp)","twist, wrench, strain, pull","","He got a bad sprain while playing basketball on an uneven court. (Anh ấy bị trẹo khớp nặng khi chơi bóng rổ trên một sân không bằng phẳng.)"
Stamina,"build stamina (xây dựng sức bền) / lack stamina (thiếu sức bền)","/'stæmənə/","Sức bền","endurance, staying power, resilience, energy, vigor","weakness, fatigue, lethargy, frailty","Long-distance runners need incredible cardiovascular stamina. (Những người chạy cự ly dài cần có sức bền tim mạch đáng kinh ngạc.)"
Strength training,"incorporate strength training (kết hợp tập sức mạnh) / benefits of strength training (lợi ích của tập sức mạnh)","/strεηθ 'treinin/","Tập sức mạnh","weightlifting, resistance training, muscle building","cardio, aerobic exercise, stretching","Strength training is important to prevent muscle loss as you age. (Tập sức mạnh là điều quan trọng để ngăn ngừa mất cơ khi bạn già đi.)"
Stress,"relieve stress (giảm căng thẳng) / under a lot of stress (chịu nhiều căng thẳng)","/stres/","Căng thẳng","tension, pressure, anxiety, strain, worry","relaxation, calm, peace, tranquility","High levels of stress can severely weaken your immune system. (Mức độ căng thẳng cao có thể làm suy yếu hệ thống miễn dịch của bạn một cách nghiêm trọng.)"
Stress management,"stress management techniques (các kỹ thuật quản lý căng thẳng) / effective stress management (quản lý căng thẳng hiệu quả)","/stres 'mænidzmənt/","Quản lý căng thẳng","relaxation techniques, anxiety control, coping strategies","stress amplification, panic","Yoga and meditation are highly effective tools for stress management. (Yoga và thiền là những công cụ có tính hiệu quả cao trong việc quản lý căng thẳng.)"
Stroke,"suffer a stroke (bị đột quỵ) / prevent a stroke (phòng ngừa đột quỵ)","/strouk/","Đột quỵ","brain attack, cerebral hemorrhage, apoplexy","","High blood pressure is a major risk factor for suffering a stroke. (Huyết áp cao là một yếu tố nguy cơ chính gây ra đột quỵ.)"
Superfood,"nutrient-dense superfood (siêu thực phẩm giàu dinh dưỡng) / incorporate superfood (kết hợp siêu thực phẩm)","/'super fu:d/","Thực phẩm siêu dinh dưỡng","health food, nutrient-rich food, power food","junk food, processed food, empty calories","Blueberries and kale are widely recognized as superfoods. (Việt quất và cải xoăn được công nhận rộng rãi là những siêu thực phẩm.)"
Surgery,"undergo surgery (trải qua phẫu thuật) / cosmetic surgery (phẫu thuật thẩm mỹ)","/s3:rdzəri/","Phẫu thuật","operation, surgical procedure, medical intervention","non-invasive treatment, medication","She requires immediate surgery to remove the infected appendix. (Cô ấy cần phẫu thuật ngay lập tức để cắt bỏ phần ruột thừa bị nhiễm trùng.)"
Symptoms,"flu symptoms (triệu chứng cúm) / relieve symptoms (làm giảm triệu chứng)","/'sımptəmz/","Triệu chứng","signs, indications, manifestations, warnings","causes, origins","Fever and a dry cough are the primary symptoms of the virus. (Sốt và ho khan là những triệu chứng chính của loại virus này.)"
Therapy,"physical therapy (vật lý trị liệu) / group therapy (trị liệu nhóm)","/ θεǝρί/","Điều trị, trị liệu","treatment, healing, counseling, remedy, cure","harm, damage, exacerbation","She goes to psychological therapy once a week to manage her anxiety. (Cô ấy đi trị liệu tâm lý mỗi tuần một lần để quản lý chứng lo âu của mình.)"
Treatment,"medical treatment (điều trị y tế) / effective treatment (phương pháp điều trị hiệu quả)","/'tritmənt/","Điều trị","therapy, cure, remedy, medication, healing","neglect, harm, injury","The new cancer treatment has shown very promising results. (Phương pháp điều trị ung thư mới đã cho thấy những kết quả rất hứa hẹn.)"
Ultrasound,"ultrasound scan (siêu âm) / prenatal ultrasound (siêu âm trước sinh)","/'altra saund/","Siêu âm","sonogram, echography, medical imaging","","The doctor used an ultrasound to check the health of the baby. (Bác sĩ đã sử dụng siêu âm để kiểm tra sức khỏe của thai nhi.)"
Vaccination,"mass vaccination (tiêm chủng đại trà) / vaccination program (chương trình tiêm chủng)","/ væksı neıfən/","Tiêm chủng","immunization, inoculation, shot, injection","","Vaccination is the most effective way to prevent infectious diseases. (Tiêm chủng là cách hiệu quả nhất để phòng ngừa các bệnh truyền nhiễm.)"
Vitamins,"take vitamins (uống vitamin) / essential vitamins (các vitamin thiết yếu)","/'vaıtəmınz/","Vitamin","nutrients, supplements, dietary elements","","Oranges and lemons are excellent natural sources of Vitamin C. (Cam và chanh là những nguồn cung cấp Vitamin C tự nhiên tuyệt vời.)"
Weight,"lose weight (giảm cân) / gain weight (tăng cân)","/wert/","Cân nặng","body mass, heaviness, heft","lightness","Maintaining a healthy weight reduces the risk of heart disease. (Duy trì mức cân nặng hợp lý giúp giảm nguy cơ mắc bệnh tim.)"
Weight gain,"rapid weight gain (tăng cân nhanh chóng) / prevent weight gain (ngăn ngừa tăng cân)","/weit gein/","Tăng cân","putting on weight, getting heavier, fattening","weight loss, slimming down","Eating late at night is a common cause of unwanted weight gain. (Ăn khuya là một nguyên nhân phổ biến gây tăng cân không mong muốn.)"
Weight loss,"significant weight loss (giảm cân đáng kể) / weight loss program (chương trình giảm cân)","/wert los/","Giảm cân","slimming, dropping pounds, fat reduction","weight gain, fattening","Regular cardio exercise is highly effective for weight loss. (Tập cardio thường xuyên mang lại hiệu quả cao trong việc giảm cân.)"
Well-being,"sense of well-being (cảm giác hạnh phúc) / promote overall well-being (thúc đẩy hạnh phúc tổng thể)","/wel'bi:in/","Hạnh phúc, sự khỏe mạnh","welfare, health, happiness, comfort, prosperity","illness, misery, suffering, hardship, discomfort","Good relationships are fundamental to our psychological well-being. (Các mối quan hệ tốt là nền tảng cho hạnh phúc tâm lý của chúng ta.)"

